chain_id,seed,initialization,burn_in_proposal_attempts,sampling_interval_proposal_attempts,retained_samples,sampling_proposal_attempts,total_proposal_attempts,burn_in_accepted_switches,sampling_accepted_switches,accepted_switches_total,acceptance_rate_total,null_mean,null_sd_population,null_q025,null_q500,null_q975,tail_count,tail_frequency,ess_C_r,ess_tail_indicator,mcse_tail_frequency,program_version,python_version,rng
1,2026080501,observed APPLIES bipartite graph,15300,153,1000,153000,168300,9192,92305,101497,0.6030718954248366,0.5718935534652214,0.09029521474763354,0.3721988404909681,0.5790641640814473,0.7304297810584205,117,0.117,624.9517562879512,872.0224595562665,0.010884524151289298,3.0.0-20260806,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Python random.Random using MT19937
2,2026080502,observed APPLIES bipartite graph,15300,153,1000,153000,168300,9233,92418,101651,0.6039869281045752,0.5695559626942726,0.08879280535704678,0.3842891157518743,0.5737344819743282,0.7289515420551519,100,0.1,634.6125284503795,884.0864440078585,0.010089598604503551,3.0.0-20260806,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Python random.Random using MT19937
3,2026080503,observed APPLIES bipartite graph,15300,153,1000,153000,168300,9255,92450,101705,0.6043077837195484,0.5731813947810809,0.08525925732387205,0.3834581102037042,0.5781138161450813,0.7227833569788797,91,0.091,525.6298698565893,1000.0,0.009094998625618368,3.0.0-20260806,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Python random.Random using MT19937
4,2026080504,observed APPLIES bipartite graph,15300,153,1000,153000,168300,9326,92496,101822,0.6050029708853238,0.5691858818362354,0.09068304493960559,0.37714827503123155,0.5730781476235175,0.7294095995543328,113,0.113,688.4070833007133,902.3447639939601,0.010539373131263548,3.0.0-20260806,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Python random.Random using MT19937
